date,open,high,low,close,volume
1987/01/05,2201,2201,2201,2201,
1987/01/07,2205.06,2205.06,2205.06,2205.06,
1987/01/08,2197.02,2197.02,2197.02,2197.02,
1987/01/09,2262.01,2262.01,2262.01,2262.01,
1987/01/12,2314.02,2314.02,2314.02,2314.02,
1987/01/13,2374.07,2374.07,2374.07,2374.07,
1987/01/14,2365.02,2365.02,2365.02,2365.02,
1987/01/15,2419.06,2419.06,2419.06,2419.06,
1987/01/16,2396.05,2396.05,2396.05,2396.05,
1987/01/19,2415.07,2415.07,2415.07,2415.07,
1987/01/20,2429.09,2429.09,2429.09,2429.09,
1987/01/21,2453.08,2453.08,2453.08,2453.08,
1987/01/22,2438,2438,2438,2438,
1987/01/23,2447.03,2447.03,2447.03,2447.03,
1987/01/26,2454.02,2454.02,2454.02,2454.02,
1987/01/27,2477,2477,2477,2477,
1987/01/28,2499.04,2499.04,2499.04,2499.04,
1987/01/29,2526.09,2526.09,2526.09,2526.09,
1987/01/30,2499.09,2499.09,2499.09,2499.09,
1987/02/02,2514.04,2514.04,2514.04,2514.04,
1987/02/03,2536.09,2536.09,2536.09,2536.09,
1987/02/04,2562.03,2562.03,2562.03,2562.03,
1987/02/05,2519.04,2519.04,2519.04,2519.04,
1987/02/06,2460.02,2460.02,2460.02,2460.02,
1987/02/09,2457,2457,2457,2457,
1987/02/10,2432.07,2432.07,2432.07,2432.07,
1987/02/11,2357.06,2357.06,2357.06,2357.06,
1987/02/12,2313.09,2313.09,2313.09,2313.09,
1987/02/13,2339,2339,2339,2339,
1987/02/16,2409.05,2409.05,2409.05,2409.05,
1987/02/17,2524.02,2524.02,2524.02,2524.02,
1987/02/18,2583.07,2583.07,2583.07,2583.07,
1987/02/19,2584.04,2584.04,2584.04,2584.04,
1987/02/20,2610.04,2610.04,2610.04,2610.04,
1987/02/23,2652.09,2652.09,2652.09,2652.09,
1987/02/24,2615.02,2615.02,2615.02,2615.02,
1987/02/25,2535.04,2535.04,2535.04,2535.04,
1987/02/26,2558.06,2558.06,2558.06,2558.06,
1987/02/27,2612.04,2612.04,2612.04,2612.04,
1987/03/02,2624,2624,2624,2624,
1987/03/03,2560.06,2560.06,2560.06,2560.06,
1987/03/04,2549.01,2549.01,2549.01,2549.01,
1987/03/05,2529.08,2529.08,2529.08,2529.08,
1987/03/06,2495.06,2495.06,2495.06,2495.06,
1987/03/09,2482.08,2482.08,2482.08,2482.08,
1987/03/10,2440,2440,2440,2440,
1987/03/11,2399.08,2399.08,2399.08,2399.08,
1987/03/12,2383.04,2383.04,2383.04,2383.04,
1987/03/13,2390.05,2390.05,2390.05,2390.05,
1987/03/16,2417,2417,2417,2417,
1987/03/17,2388.09,2388.09,2388.09,2388.09,
1987/03/18,2381.03,2381.03,2381.03,2381.03,
1987/03/20,2378.08,2378.08,2378.08,2378.08,
1987/03/23,2356.07,2356.07,2356.07,2356.07,
1987/03/24,2345.03,2345.03,2345.03,2345.03,
1987/03/25,2341.03,2341.03,2341.03,2341.03,
1987/03/26,2336.05,2336.05,2336.05,2336.05,
1987/03/27,2357.02,2357.02,2357.02,2357.02,
1987/03/30,2377.04,2377.04,2377.04,2377.04,
1987/03/31,2338.01,2338.01,2338.01,2338.01,
1987/04/01,2324,2324,2324,2324,
1987/04/02,2306.01,2306.01,2306.01,2306.01,
1987/04/03,2303.05,2303.05,2303.05,2303.05,
1987/04/06,2288.07,2288.07,2288.07,2288.07,
1987/04/08,2293.06,2293.06,2293.06,2293.06,
