ticker,pay_date,ex_date,gross,net,type
map,2017/06/20,2017/06/16,0.0859,0.0696,Final
map,2016/12/23,2016/12/21,0.06,0.049,Interim
map,2016/06/24,2016/06/21,0.07,0.057,Final
map,2015/12/15,2015/12/15,0.06,0.048,Interim
map,2015/06/18,2015/06/18,0.08,0.064,Final
map,2014/12/15,2014/12/15,0.06,0.047,Interim
map,2014/06/20,2014/06/20,0.08,0.063,Final
map,2013/12/20,2013/12/20,0.05,0.04,Interim
map,2013/06/28,2013/06/28,0.07,0.055,Final
map,2012/12/12,2012/12/12,0.04,0.032,Interim
map,2012/06/29,2012/06/29,0.08,0.063,Final
map,2011/12/14,2011/12/14,0.07,0.057,Interim
map,2011/06/22,2011/06/22,0.08,0.065,Final
map,2010/12/01,2010/12/01,0.07,0.057,Interim
map,2010/06/16,2010/06/16,0.08,0.065,Final
map,2009/12/02,2009/12/02,0.07,0.057,Interim
map,2009/04/02,2009/04/02,0.08,0.066,Final
map,2008/11/29,2008/12/01,0.07,0.057,Interim
map,2008/06/04,2008/06/04,0.07,0.057,Final
map,2007/11/08,2007/11/08,0.06,0.049,Interim
map,2007/05/04,2007/05/04,0.05,0.041,Final
map,2006/11/17,2006/11/17,0.04,0.034,Interim
map,2006/05/05,2006/05/05,0.03,0.026,Final
map,2005/11/18,2005/11/18,0.034,0.029,Interim
map,2005/03/14,2005/03/14,0.024,0.02,Final
map,2004/11/19,2004/11/19,0.03,0.025,
map,2004/03/18,2004/03/18,0.02,0.017,
map,2003/11/14,2003/11/14,0.022,0.018,
map,2003/06/02,2003/06/02,0.02,0.017,
map,2002/12/16,2002/12/16,0.018,0.015,
map,2002/05/31,2002/05/31,0.02,0.017,
map,2001/12/14,2001/12/14,0.018,0.015,Interim
map,2001/06/01,2001/06/01,0.06,0.05,
map,2000/12/15,2000/12/15,0.0541,0.045,Interim
map,2000/06/01,2000/06/01,0.0583,0.049,
map,1999/06/01,1999/06/01,0.0583,0.049,
map,1998/12/15,1998/12/15,0.051,0.042,Interim
map,1997/12/05,1997/12/15,0.05,0.042,Interim
map,1997/12/01,1997/12/01,0.0529,0.044,Final
map,1996/12/15,1996/12/15,0.03,0.025,Interim
map,1995/12/15,1995/12/15,0.0499,0.042,Interim
map,1995/06/01,1995/06/01,0.048,0.04,Final
map,1994/12/31,1994/12/31,0.033,0.027,Interim
tef,2017/06/14,2017/06/15,0.2,,Cash
tef,2016/11/15,2016/11/16,0.34,,"Scrip dividend"
tef,2016/05/18,2016/05/19,0.4,,Cash
tef,2015/11/18,2015/11/19,0.345,,"Scrip dividend"
tef,2015/05/12,2015/05/13,0.4,,Cash
tef,2014/11/19,2014/11/20,0.336,,"Scrip dividend"
tef,2014/05/07,2014/05/08,0.4,,Cash
tef,2013/11/06,2013/11/07,0.35,,Cash
tef,2012/05/18,2012/05/19,0.53,,"Cash and scrip dividend"
tef,2011/11/07,2011/11/08,0.77,,Cash
tef,2011/05/06,2011/05/07,0.75,,Cash
tef,2010/11/08,2010/11/09,0.65,,Cash
tef,2010/05/11,2010/05/12,0.5265,,Cash
