ticker,empresa,clave
A3M,atresmedia,RV011A3TV
ABE,abertis,RV011AUCESA
ABG.P,abengoa-b,RV011ABENB
ABG,abengoa-a,RV011ABENGOA
ACS,acs,RV011ACS
ACX,acerinox,RV011ACERINO
ADV,adveo,RV011UNIPAPE
ADZ,adolfo-dominguez,RV011ADOLFOD
AENA,aena,RV011AENA
AIR,airbus,RV011EADS
ALB,corporacion-financiera-alba,RV011CORPFIN
ALM,almirall,RV011ALMIRAL
ALNT,alantra,RV011DINAMIA
AMS,amadeus,RV011AMADEUS
AMP,amper,RV011AMPER
ANA,acciona,RV011ACCIONA
APAM,aperam,RV011APERAM
APPS,applus-services,RV011APPLUS
AXIA,axia-real-estate,RV011AXIAR
AZK,azkoyen,RV011AZKOYEN
BAY,bayer,RV011BAYER
BBVA,bbva,RV011BBV
BDL,baron-de-ley,RV011BARONDE
BES,nyesa,RV011BESOS
BIO,biosearch,RV011BIO
BKIA,bankia,RV011BANKIA
BKT,bankinter,RV011BANKINT
BME,bme,RV011BME
CABK,caixabank,RV011CRITERI
CAF,cons-y-auxiliar-de-ferrocarriles,RV011CONSAUX
CASH,prosegur-cash,RV011PROSECASH
CBAV,clinica-baviera,RV011BAVIERA
CCE,coca-cola-european-partners-madrid-,RV011CCEP
CMC,coemac,RV011URALITA
CDR,codere,RV011CODERE
CGI,general-inversiones,RV011GRALINV
CIE,cie-automotive-sa,RV011AZCOITI
CLEO,cia-levantina-edificacion-de-o-publicas,RV011CLEOP
CLNX,cellnex,RV011CELLNEX
COL,inmobiliaria-colonial,RV011COLONIA
CPL,cementos-portland,RV011PORTLAN
DGI,dogi,RV011DOGI
DIA,dia,RV011DIA
DOM,global-dominion,RV011DOM
EBRO,ebro-foods,RV011EBREVA
ECG,euroconsult,RV011EUROCON
ECR,ercros,RV011ERCROS
EDR,edreams-odigeo,RV011EDREAM
EKT,euskaltel,RV011EUSKATE
ELE,endesa,RV011ENDESA
ENC,ence,RV011ENCE
ENG,enagas,RV011ENAGAS
ENO,elecnor,RV011ENOR
EZE,ezentis,RV011RADIOTR
FAE,faes,RV011FAES
FCC,fomento-de-construcciones-y-contratas,RV011FOMENTO
FDR,fluidra,RV011FLUIDRA
FER,ferrovial,RV011FERROVI
FRS,fersa,RV011FERSA
FUN,funespana,RV011FUNESPA
GALQ,general-alquiler-de-maquinaria,RV011GAM
SGRE,gamesa,RV011GAMESA
GAS,gas-natural-fenosa,RV011GASNATU
GCO,catalana-occidente,RV011CATALAN
GEST,gestamp-automocion,RV011GESTAMP
GRF,grifols,RV011GRIFOLS
GRF.P,grifols-b,RV011GRIFOLB
GSJ,san-jose,RV011SANJOSE
HIS,hispania-activos-inmobiliarios,RV011HISPA
HOME,neinor-homes,RV011NE
IAG,iag,RV011IAG
IBE,iberdrola,RV011IBERDRO
IBG,iberpapel,RV011IBERPAP
IDR,indra,RV011INDRA
ISUR,inmobiliaria-del-sur,RV011INMOSUR
INY,inypsa,RV011INYPSA
ITX,inditex,RV011INDITEX
JAZ,jazztel,RV011JAZMC
LBK,liberbank,RV011LIBERBA
LGT,lingotes-especiales,RV011LINGOTE
LOG,logista,RV011LOGISTA
LRE,lar-espana,RV011LAR
MAP,mapfre,RV011MAPFRE
MAS,masmovil,RV011IBERCOM
MCM,miquel-y-costas,RV011MIQUELY
MDF,duro-felguera,RV011DUROFEL
MEL,melia-hotels,RV011SOLMELI
MONI,mondo-tv,RV011MONDO
MRL,merlin-properties,RV011MERLINP
MTB,montebalito,RV011MONTEBA
MTS,arcelormittal,RV011MITTALE
NAT,natra,RV011NATRA
NEA,nicolas-correa,RV011NICOLAS
NHH,nh-hoteles,RV011NHHOTEL
NTH,naturhouse,RV011NATURH
OHL,ohl,RV011OHL
OLE,deoleo,RV011SOSARAN
ORY,oryzon-genomics,RV011ORYZON
PAC,europac,RV011PAPYCAR
PHM,pharmamar,RV011ZELTIA
POP,banco-popular,RV011BKPOPUL
PQR,parques-reunidos,RV011PARQUES
PRM,prim,RV011PRIM
PRS,prisa,RV011PRISA
PSG,prosegur,RV011PROSEGU
PVA,pescanova,RV011PESCANO
QBT,quabit,RV011ASTROC
R4,renta4-banco,RV011RENTA4
RDM,reno-de-medici,RV011MEDICI
REE,red-electrica,RV011REE
REN,renta-corporacion,RV011RENTACO
REP,repsol,RV011REPSOL
REY,reyal-urbis,RV011URBIS
RIO,bodegas-riojanas,RV011BODEGAS
RJF,reig-jofre,RV011NTC
RLIA,realia,RV011REALIA
ROVI,laboratorios-rovi,RV011ROVI
SAB,banco-sabadell,RV011BKSABAD
SAN,santander,RV011BSCH
SAY,saeta,RV011SAETA
SCYR,sacyr,RV011VALLEHE
SLR,solaria,RV011SOLARIA
SNC,sniace,RV011SNIACE
SPS,service-point-solutions,RV011PICKING
STG,sotogrande,RV011SOTOGRA
TEC,tecnocom,RV011IBMEI
TEF,telefonica,RV011TELEFON
TL5,mediaset-espana,RV011TELECIN
TLGO,talgo,RV011TALGO
TPZ,telepizza,RV011TELEPIZ
TRE,tecnicas-reunidas,RV011TECREU
TRG,tubos-reunidos,RV011TRG
TUB,tubacex,RV011TUBACEX
UBS,urbas,RV011URBAS
UNI,unicaja,RV011UNICAJA
VER,vertice-360,RV011VERTICE
VID,vidrala,RV011VIDRALA
VIS,viscofan,RV011VISCOFA
VOC,vocento,RV011VOCENTO
YVBA,vbare-iberian-properties,RV011VBARE
ZOT,zardoya-otis,RV011ZARDOYA
IBEX35,ibex-35,IB011IBEX35
