date,close,open,high,low,volume
2017/07/05,3.149,3.124,3.193,3.124,5503821
2017/07/04,3.141,3.11,3.162,3.098,3606691
2017/07/03,3.12,3.069,3.133,3.069,3120733
2017/06/30,3.058,3.075,3.102,3.049,3940817
2017/06/29,3.077,3.113,3.137,3.071,3400398
2017/06/28,3.103,3.021,3.114,3.005,5500315
2017/06/27,3.028,3.043,3.069,3.021,4319391
2017/06/26,3.042,3.062,3.091,3.042,4014646
2017/06/23,3.057,3.099,3.105,3.032,3847413
2017/06/22,3.101,3.12,3.12,3.078,3880891
2017/06/21,3.119,3.14,3.145,3.066,5697212
2017/06/20,3.159,3.189,3.22,3.156,4023011
2017/06/19,3.183,3.109,3.2,3.102,5196131
2017/06/16,3.09,3.07,3.12,3.05,19950034
2017/06/15,3.154,3.252,3.258,3.147,6503086
2017/06/14,3.251,3.25,3.288,3.238,6032417
2017/06/13,3.243,3.219,3.248,3.207,4117515
2017/06/12,3.216,3.226,3.226,3.178,4390177
2017/06/09,3.218,3.174,3.22,3.166,4067799
2017/06/08,3.173,3.2,3.21,3.159,4712221
2017/06/07,3.186,3.127,3.204,3.102,3777302
2017/06/06,3.141,3.151,3.167,3.125,5363219
2017/06/05,3.178,3.193,3.2,3.162,2224047
2017/06/02,3.193,3.208,3.242,3.187,4300292
2017/06/01,3.192,3.173,3.199,3.159,3989241
2017/05/31,3.166,3.147,3.209,3.139,6834018
2017/05/30,3.142,3.148,3.16,3.123,3336464
2017/05/29,3.158,3.118,3.16,3.103,1882708
2017/05/26,3.133,3.125,3.142,3.105,2383652
2017/05/25,3.124,3.154,3.154,3.112,2573262
2017/05/24,3.123,3.112,3.13,3.105,2968830
2017/05/23,3.115,3.098,3.136,3.092,4483558
2017/05/22,3.106,3.12,3.127,3.086,3561596
2017/05/19,3.115,3.075,3.115,3.07,6426902
2017/05/18,3.065,3.21,3.21,3.037,13047299
2017/05/17,3.221,3.288,3.321,3.22,4263356
2017/05/16,3.309,3.326,3.345,3.308,4782714
2017/05/15,3.336,3.318,3.347,3.314,4673278
2017/05/11,3.287,3.276,3.29,3.236,5320596
2017/05/10,3.26,3.22,3.272,3.215,5387451
2017/05/09,3.228,3.277,3.287,3.218,4355763
2017/05/08,3.267,3.29,3.306,3.253,4614262
2017/05/05,3.28,3.2,3.28,3.2,5738169
2017/05/04,3.209,3.165,3.228,3.16,6248147
2017/05/03,3.152,3.15,3.168,3.127,4521187
2017/05/02,3.159,3.205,3.224,3.135,7457676
2017/04/28,3.204,3.278,3.349,3.204,10435116
2017/04/27,3.301,3.299,3.325,3.256,6110255
2017/04/26,3.298,3.29,3.308,3.275,3944468
2017/04/25,3.3,3.294,3.31,3.253,4747416
2017/04/24,3.303,3.26,3.33,3.258,6787975
2017/04/21,3.222,3.19,3.239,3.189,4524716
2017/04/20,3.19,3.158,3.207,3.156,5994786
2017/04/19,3.178,3.144,3.189,3.144,3506864
2017/04/18,3.141,3.218,3.219,3.121,5074969
2017/04/13,3.191,3.178,3.191,3.152,2982727
2017/04/12,3.179,3.167,3.215,3.165,4103521
2017/04/11,3.16,3.176,3.177,3.138,3772929
2017/04/10,3.185,3.203,3.224,3.185,2701669
2017/04/07,3.216,3.181,3.216,3.181,3882360
2017/04/06,3.213,3.183,3.219,3.155,5438274
2017/04/05,3.214,3.187,3.215,3.18,4364019
2017/04/04,3.191,3.146,3.191,3.14,6133942
2017/04/03,3.158,3.21,3.226,3.153,4554887
2017/03/31,3.215,3.218,3.24,3.198,4425544
2017/03/30,3.232,3.22,3.25,3.201,5499594
2017/03/29,3.214,3.195,3.23,3.166,5937984
2017/03/28,3.2,3.124,3.2,3.12,5208715
2017/03/27,3.118,3.092,3.12,3.068,2966134
2017/03/24,3.125,3.133,3.15,3.115,3768750
2017/03/23,3.147,3.103,3.147,3.091,3506920
2017/03/22,3.101,3.1,3.118,3.051,4361823
2017/03/21,3.124,3.17,3.178,3.116,4428088
2017/03/20,3.152,3.134,3.166,3.13,3354553
2017/03/17,3.152,3.1,3.152,3.097,10529358
2017/03/16,3.109,3.098,3.129,3.091,7693228
2017/03/15,3.078,3.039,3.085,3.029,5027309
2017/03/14,3.027,3.068,3.068,3.014,3905175
2017/03/13,3.058,3.047,3.06,3.026,3015248
2017/03/10,3.04,3.06,3.083,3.037,3880696
2017/03/09,3.046,3.013,3.06,3.001,5667147
2017/03/08,3.02,2.988,3.046,2.984,4999950
2017/03/07,3.003,2.992,3.012,2.979,3654673
2017/03/06,2.993,3.003,3.021,2.98,3760766
2017/03/03,3.024,2.934,3.026,2.927,6558838
2017/03/02,2.95,2.968,2.982,2.945,4752651
2017/03/01,2.977,2.921,2.988,2.921,6159783
2017/02/28,2.921,2.896,2.921,2.87,5360124
2017/02/27,2.892,2.873,2.899,2.862,3881976
2017/02/24,2.87,2.9,2.91,2.844,4306993
2017/02/23,2.902,2.906,2.924,2.886,3786314
2017/02/22,2.898,2.908,2.934,2.862,3907381
2017/02/21,2.914,2.87,2.925,2.836,4063103
2017/02/20,2.877,2.904,2.918,2.87,2409582
2017/02/17,2.886,2.941,2.957,2.859,5621856
2017/02/16,2.936,2.917,2.94,2.914,4882576
2017/02/15,2.922,2.91,2.939,2.9,3864489
2017/02/14,2.914,2.916,2.929,2.898,5193497
2017/02/13,2.91,2.898,2.92,2.885,3938830
2017/02/10,2.884,2.89,2.897,2.831,7046503
2017/02/09,2.877,2.85,2.883,2.815,5649573
2017/02/08,2.838,2.91,2.938,2.783,9483975
2017/02/07,2.886,2.875,2.895,2.848,4961174
2017/02/06,2.88,2.895,2.919,2.873,5468047
2017/02/03,2.898,2.869,2.901,2.84,5447941
2017/02/02,2.858,2.859,2.884,2.848,5030449
2017/02/01,2.86,2.835,2.899,2.831,6648480
2017/01/31,2.8,2.817,2.859,2.8,3863275
2017/01/30,2.82,2.852,2.863,2.815,3470373
2017/01/27,2.867,2.901,2.904,2.842,5280605
2017/01/26,2.903,2.893,2.908,2.873,6554709
2017/01/25,2.872,2.801,2.872,2.796,8775579
2017/01/24,2.769,2.719,2.769,2.714,4580658
2017/01/23,2.72,2.715,2.732,2.655,5992557
2017/01/20,2.737,2.75,2.756,2.732,5107476
2017/01/19,2.746,2.807,2.827,2.735,9777745
2017/01/18,2.804,2.831,2.852,2.795,5415270
2017/01/17,2.822,2.851,2.857,2.81,3858510
2017/01/16,2.853,2.85,2.862,2.824,4568198
2017/01/13,2.855,2.827,2.859,2.815,5535835
2017/01/12,2.82,2.871,2.877,2.802,7973150
2017/01/11,2.879,2.904,2.92,2.873,5622330
2017/01/10,2.903,2.914,2.914,2.891,3503385
2017/01/09,2.919,2.972,2.975,2.901,3450905
2017/01/06,2.96,2.941,2.978,2.941,3562210
2017/01/05,2.955,2.935,2.959,2.922,3232239
2017/01/04,2.943,2.966,2.98,2.936,4308351
