date,close,open,high,low,volume
2017-07-21,13.695,13.815,13.975,13.61,3718481
2017-07-19,13.79,13.745,13.82,13.58,3906487
2017-07-18,13.7,13.805,13.93,13.67,3368710
2017-07-17,13.865,13.91,13.97,13.84,3188621
2017-07-14,13.91,13.81,13.99,13.775,3976823
2017-07-13,13.83,13.655,13.87,13.615,4583354
2017-07-12,13.61,13.525,13.725,13.52,5619676
2017-07-11,13.475,13.4,13.49,13.275,4757301
2017-07-10,13.475,13.5,13.54,13.365,3586160
2017-07-07,13.44,13.53,13.53,13.35,6468280
2017-07-06,13.595,13.65,13.65,13.495,5178672
2017-07-05,13.555,13.76,13.85,13.555,4667810
2017-07-04,13.79,13.71,13.865,13.66,3702598
2017-07-03,13.765,13.52,13.775,13.5,4611158
2017-06-30,13.4,13.55,13.6,13.395,5270820
2017-06-29,13.525,13.7,13.75,13.42,4936245
2017-06-28,13.66,13.57,13.725,13.435,4559495
2017-06-27,13.61,13.575,13.655,13.515,5184442
2017-06-26,13.575,13.57,13.665,13.49,3980899
2017-06-23,13.53,13.55,13.6,13.41,5469722
2017-06-22,13.59,13.66,13.69,13.44,6742962
2017-06-21,13.715,13.75,13.84,13.55,5986672
2017-06-20,13.77,14.05,14.105,13.745,6555620
2017-06-19,14.075,13.97,14.15,13.96,5397351
2017-06-15,13.84,14.055,14.095,13.78,9042305
2017-06-14,14.135,14.42,14.455,14.1,7760706
2017-06-13,14.4,14.425,14.53,14.36,5851830
2017-06-12,14.4,14.505,14.505,14.36,6133666
2017-06-09,14.83,14.81,14.93,14.755,5204110
2017-06-08,14.855,14.9,14.935,14.74,5602489
2017-06-07,14.88,14.94,15,14.815,4843277
2017-06-06,14.895,14.9,14.97,14.835,5873827
2017-06-05,14.855,14.895,14.945,14.81,3793142
2017-06-02,14.82,14.97,15.03,14.755,6435422
2017-06-01,14.99,15,15.06,14.885,4230231
2017-05-31,14.915,14.98,15.07,14.905,11089178
2017-05-30,15,14.98,15.09,14.92,3965669
2017-05-29,15.01,14.945,15.05,14.9,1927346
2017-05-26,14.955,14.92,14.96,14.795,4489290
2017-05-25,15.06,15.19,15.19,14.88,3702874
2017-05-24,15.075,15.1,15.22,15.055,4926924
2017-05-23,15.085,14.905,15.12,14.805,6579649
2017-05-22,14.845,14.88,14.98,14.83,4068867
2017-05-19,14.84,14.73,14.905,14.65,4470343
2017-05-18,14.645,14.765,14.83,14.365,5836920
2017-05-17,14.8,14.9,14.98,14.73,4204392
2017-05-16,14.98,14.84,15.025,14.81,4792154
2017-05-15,14.8,14.74,14.93,14.715,4655150
2017-05-11,14.675,14.805,14.885,14.61,5335537
2017-05-10,14.74,14.69,14.815,14.59,5188290
2017-05-09,14.655,14.72,14.795,14.485,4633858
2017-05-08,14.61,14.68,14.72,14.515,4648904
2017-05-05,14.59,14.34,14.63,14.18,9861603
2017-05-04,14.47,14.6,14.65,14.4,9148035
2017-05-03,14.56,14.58,14.635,14.495,4734686
2017-05-02,14.63,14.605,14.74,14.56,4256662
2017-04-28,14.535,14.62,14.625,14.52,4290795
2017-04-27,14.56,14.74,14.745,14.485,4880031
2017-04-26,14.815,14.775,14.86,14.695,3679031
2017-04-25,14.775,14.7,14.82,14.62,3773758
2017-04-24,14.675,14.695,14.74,14.59,6869668
2017-04-21,14.295,14.36,14.4,14.23,6769725
2017-04-20,14.41,14.3,14.485,14.26,4973758
2017-04-19,14.385,14.325,14.465,14.285,4803784
2017-04-18,14.395,14.74,14.79,14.395,6354251
2017-04-13,14.72,14.79,14.825,14.665,2853039
2017-04-12,14.835,14.945,15.06,14.8,4221719
2017-04-11,14.855,14.835,15,14.75,5473760
2017-04-10,14.94,15,15.065,14.86,3606833
2017-04-07,14.995,14.87,15,14.855,6238508
2017-04-06,14.825,14.515,14.865,14.5,5131277
2017-04-05,14.65,14.47,14.835,14.465,7863286
2017-04-04,14.39,14.285,14.395,14.285,5214153
2017-04-03,14.305,14.535,14.56,14.295,4058384
2017-03-31,14.475,14.5,14.61,14.405,5156203
2017-03-30,14.6,14.445,14.62,14.41,6406966
2017-03-29,14.39,14.37,14.4,14.19,4439698
2017-03-28,14.335,14.31,14.355,14.185,4772808
2017-03-27,14.295,14.25,14.325,14.18,4089080
2017-03-24,14.37,14.51,14.53,14.315,4674810
2017-03-23,14.555,14.5,14.555,14.38,3386166
2017-03-22,14.455,14.395,14.495,14.325,5819310
2017-03-21,14.475,14.505,14.66,14.425,5891807
2017-03-20,14.46,14.505,14.545,14.42,3919866
