date,close,open,high,low,volume
2017/07/12,9.14,9.07,9.151,9.021,11721154
2017/07/11,9.019,9.015,9.073,9,12047013
2017/07/10,9.014,9.037,9.05,8.926,14171130
2017/07/07,9.051,9.01,9.051,8.944,11233908
2017/07/06,9.007,9.051,9.066,8.938,14930095
2017/07/05,9.026,9.14,9.167,9.026,11266526
2017/07/04,9.15,9.197,9.197,9.13,7673585
2017/07/03,9.229,9.117,9.234,9.09,11965781
2017/06/30,9.038,9.073,9.166,9.01,16175950
2017/06/29,9.1,9.249,9.283,9.051,17239598
2017/06/28,9.213,9.367,9.377,9.213,23339124
2017/06/27,9.407,9.471,9.505,9.407,12962768
2017/06/26,9.525,9.52,9.579,9.509,7254685
2017/06/23,9.496,9.519,9.526,9.441,9544132
2017/06/22,9.515,9.5,9.519,9.425,11024213
2017/06/21,9.53,9.533,9.575,9.456,9002907
2017/06/20,9.585,9.73,9.76,9.585,11988417
2017/06/19,9.708,9.662,9.788,9.658,11933744
2017/06/15,9.551,9.683,9.69,9.491,21815242
2017/06/14,9.751,9.832,9.934,9.751,15647144
2017/06/13,10.03,10.04,10.09,9.986,11021599
2017/06/12,10.02,9.999,10.02,9.952,10355632
2017/06/09,10.06,10.05,10.185,10.005,9959450
2017/06/08,10.075,10,10.115,9.955,13349030
2017/06/07,10.02,9.977,10.08,9.924,12302891
2017/06/06,10.025,9.998,10.07,9.95,12385217
2017/06/05,9.977,9.971,10.015,9.915,7031316
2017/06/02,10.015,10,10.125,9.962,11309727
2017/06/01,9.942,9.949,9.951,9.85,11873158
2017/05/31,9.914,9.986,10.04,9.914,15195314
2017/05/30,9.978,10.01,10.045,9.96,10742509
2017/05/29,10.075,10.025,10.08,9.998,4884603
2017/05/26,10.05,10.025,10.055,9.946,7205184
2017/05/25,10.055,10.01,10.09,9.961,8268844
2017/05/24,9.961,9.974,10.02,9.892,11528717
2017/05/23,10.01,9.9,10.03,9.86,11365372
2017/05/22,9.936,9.94,9.99,9.828,12245700
2017/05/19,9.944,9.762,9.964,9.7,19294628
2017/05/18,9.72,9.9,9.9,9.49,32702948
2017/05/17,9.851,10.01,10.055,9.827,17779682
2017/05/16,10.07,10.1,10.125,10.07,14047767
2017/05/15,10.075,10.09,10.16,10.01,11682700
2017/05/11,10.03,10.425,10.445,9.969,41981771
2017/05/10,10.45,10.46,10.46,10.36,12320574
2017/05/09,10.445,10.495,10.5,10.43,10515139
2017/05/08,10.47,10.54,10.55,10.42,12723496
2017/05/05,10.5,10.455,10.5,10.38,14134493
2017/05/04,10.44,10.35,10.445,10.335,10753837
2017/05/03,10.315,10.29,10.325,10.265,8570891
2017/05/02,10.32,10.19,10.35,10.165,11729111
2017/04/28,10.155,10.2,10.245,10.15,13371081
2017/04/27,10.215,10.35,10.35,10.215,12936405
2017/04/26,10.375,10.49,10.51,10.37,14655260
2017/04/25,10.515,10.5,10.56,10.445,12730518
2017/04/24,10.485,10.55,10.57,10.41,25840244
2017/04/21,10.16,10.25,10.27,10.125,17058347
2017/04/20,10.245,10.175,10.37,10.16,11950869
2017/04/19,10.22,10.165,10.23,10.125,10053536
2017/04/18,10.15,10.27,10.315,10.115,11359170
2017/04/13,10.235,10.3,10.33,10.205,9282511
2017/04/12,10.325,10.4,10.455,10.285,6745486
2017/04/11,10.385,10.3,10.44,10.26,12463602
2017/04/10,10.35,10.425,10.43,10.35,7824130
2017/04/07,10.45,10.395,10.45,10.37,8795289
2017/04/06,10.46,10.375,10.5,10.3,10927247
2017/04/05,10.41,10.47,10.49,10.39,13201440
2017/04/04,10.44,10.36,10.45,10.22,12550753
2017/04/03,10.39,10.5,10.53,10.39,10262936
2017/03/31,10.485,10.41,10.5,10.37,16828187
2017/03/30,10.45,10.43,10.475,10.4,12051727
2017/03/29,10.42,10.535,10.55,10.37,12230049
2017/03/28,10.51,10.5,10.515,10.395,10937368
2017/03/27,10.45,10.365,10.465,10.34,10469287
2017/03/24,10.445,10.515,10.515,10.42,9352665
2017/03/23,10.515,10.43,10.515,10.36,12191788
2017/03/22,10.435,10.33,10.465,10.295,12609565
2017/03/21,10.355,10.505,10.57,10.32,19731620
2017/03/20,10.465,10.6,10.615,10.455,11282241
2017/03/17,10.6,10.45,10.63,10.405,28670098
2017/03/16,10.475,10.37,10.475,10.31,16107111
2017/03/15,10.245,10.16,10.25,10.135,12286761
2017/03/14,10.165,10.27,10.31,10.12,13959203
2017/03/13,10.305,10.315,10.345,10.16,10427081
2017/03/10,10.345,10.36,10.45,10.315,12814350
2017/03/09,10.315,10.23,10.365,10.18,15658042
2017/03/08,10.2,10.14,10.23,10.11,11601758
2017/03/07,10.14,10.12,10.165,10.085,9699037
2017/03/06,10.085,10.035,10.18,10,17562036
2017/03/03,9.984,9.896,10.02,9.87,14724671
2017/03/02,9.899,9.913,9.935,9.833,11411406
2017/03/01,9.913,9.75,9.913,9.717,19125795
2017/02/28,9.649,9.62,9.71,9.611,19855252
2017/02/27,9.595,9.65,9.665,9.553,12063616
2017/02/24,9.61,9.559,9.645,9.47,18878024
2017/02/23,9.518,9.495,9.65,9.46,25196886
2017/02/22,9.35,9.46,9.479,9.311,14827210
2017/02/21,9.383,9.45,9.46,9.325,12537932
2017/02/20,9.401,9.385,9.433,9.36,11349459
2017/02/17,9.324,9.328,9.337,9.24,10492649
2017/02/16,9.325,9.291,9.385,9.286,12865760
2017/02/15,9.306,9.221,9.33,9.196,15091043
2017/02/14,9.196,9.136,9.196,9.1,12225917
2017/02/13,9.129,9.078,9.148,9.029,10325622
2017/02/10,9.03,9.17,9.19,9.016,10151847
2017/02/09,9.141,8.931,9.172,8.931,15782198
2017/02/08,8.91,8.92,8.94,8.801,11132005
2017/02/07,8.877,8.903,8.945,8.855,7792772
2017/02/06,8.9,8.994,9.074,8.9,9938556
2017/02/03,9.035,8.996,9.057,8.965,9800768
